YEAR,STATE,COUNTY,total_population,total_white,total_free_black,total_slave
1850,Illinois,Massac,4092,4070,22,0
1850,Illinois,Menard,6349,6328,21,0
1850,Illinois,Mercer,5246,5244,2,0
1850,Illinois,Monroe,7679,7633,46,0
1850,Illinois,Montgomery,6277,6258,19,0
1850,Illinois,Morgan,16064,15939,125,0
1850,Illinois,Moultrie,3234,3225,9,0
1850,Illinois,Ogle,10020,9990,30,0
1850,Illinois,Peoria,17547,17461,86,0
1850,Illinois,Perry,5278,5267,11,0
1850,Illinois,Piatt,1606,1606,0,0
1850,Illinois,Pike,18819,18776,43,0
1850,Illinois,Pope,3975,3871,104,0
1850,Illinois,Pulaski,2265,2257,8,0
1850,Illinois,Putnam,3924,3920,4,0
1850,Illinois,Randolph,11079,10696,383,0
1850,Illinois,Richland,4012,4002,10,0
1850,Illinois,Rock Island,6937,6935,2,0
1850,Illinois,St Clair,20180,19599,581,0
1850,Illinois,Saline,5588,5495,93,0
1850,Illinois,Sangamon,19228,18975,253,0
1850,Illinois,Schuyler,10573,10547,26,0
1850,Illinois,Scott,7914,7902,12,0
1850,Illinois,Shelby,7807,7762,45,0
1850,Illinois,Stark,3710,3710,0,0
1850,Illinois,Stephenson,11666,11658,8,0
1850,Illinois,Tazewell,12052,12016,36,0
1850,Illinois,Union,7615,7570,45,0
1850,Illinois,Vermilion,11492,11481,11,0
1850,Illinois,Wabash,4690,4640,50,0
1850,Illinois,Warren,8176,8162,14,0
1850,Illinois,Washington,6953,6929,24,0
1850,Illinois,Wayne,6825,6822,3,0
1850,Illinois,White,8925,8816,109,0
1850,Illinois,Whiteside,5361,5359,2,0
1850,Illinois,Will,16703,16670,33,0
1850,Illinois,Williamson,7216,7149,67,0
1850,Illinois,Winnebago,11773,11761,12,0
1850,Illinois,Woodford,4415,4415,0,0
1850,Indiana,Adams,5797,5789,8,0
1850,Indiana,Allen,16919,16817,102,0
1850,Indiana,Bartholomew,12428,12346,82,0
1850,Indiana,Benton,1144,1144,0,0
1850,Indiana,Blackford,2860,2849,11,0
1850,Indiana,Boone,11631,11611,20,0
1850,Indiana,Brown,4846,4827,19,0
1850,Indiana,Carroll,11015,10982,33,0
1850,Indiana,Cass,11021,10960,61,0
1850,Indiana,Clark,15828,15246,582,0
1850,Indiana,Clay,7944,7926,18,0
1850,Indiana,Clinton,11869,11845,24,0
1850,Indiana,Crawford,6524,6523,1,0
1850,Indiana,Daviess,10352,10308,44,0
1850,Indiana,Dearborn,20166,20019,147,0
1850,Indiana,Decatur,15107,14951,156,0
1850,Indiana,DeKalb,8251,8241,10,0
1850,Indiana,Delaware,10843,10839,4,0
1850,Indiana,Dubois,6321,6300,21,0
1850,Indiana,Elkhart,12690,12674,16,0
1850,Indiana,Fayette,10217,10145,72,0
1850,Indiana,Floyd,14875,14301,574,0
1850,Indiana,Fountain,13253,13201,52,0
1850,Indiana,Franklin,17968,17759,209,0
1850,Indiana,Fulton,5982,5980,2,0
1850,Indiana,Gibson,10771,10554,217,0
1850,Indiana,Grant,11092,10945,147,0
1850,Indiana,Greene,12313,12238,75,0
1850,Indiana,Hamilton,12684,12502,182,0
1850,Indiana,Hancock,9698,9594,104,0
1850,Indiana,Harrison,15286,15195,91,0
1850,Indiana,Hendricks,14083,14047,36,0
1850,Indiana,Henry,17605,17318,287,0
1850,Indiana,Howard,6657,6552,105,0
1850,Indiana,Huntington,7850,7847,3,0
1850,Indiana,Jackson,11047,10833,214,0
1850,Indiana,Jasper,3540,3539,1,0
1850,Indiana,Jay,7047,7017,30,0
1850,Indiana,Jefferson,23916,23348,568,0
1850,Indiana,Jennings,12096,11773,323,0
1850,Indiana,Johnson,12101,12086,15,0
1850,Indiana,Knox,11084,10554,530,0
1850,Indiana,Kosciusko,10243,10242,1,0
1850,Indiana,Lagrange,8387,8369,18,0
1850,Indiana,Lake,3991,3990,1,0
1850,Indiana,LaPorte,12145,12067,78,0
1850,Indiana,Lawrence,12097,12003,94,0
1850,Indiana,Madison,12375,12361,14,0
1850,Indiana,Marion,24103,23453,650,0
1850,Indiana,Marshall,5348,5346,2,0
1850,Indiana,Martin,5941,5845,96,0
1850,Indiana,Miami,11304,11293,11,0
1850,Indiana,Monroe,11286,11259,27,0
1850,Indiana,Montgomery,18084,17941,143,0
1850,Indiana,Morgan,14576,14501,75,0
1850,Indiana,Noble,7946,7940,6,0
1850,Indiana,Ohio,5308,5271,37,0
1850,Indiana,Orange,10809,10558,251,0
1850,Indiana,Owen,12106,11950,156,0
1850,Indiana,Parke,14968,14740,228,0
1850,Indiana,Perry,7268,7259,9,0
1850,Indiana,Pike,7720,7710,10,0
1850,Indiana,Porter,5234,5229,5,0
1850,Indiana,Posey,12549,12451,98,0
1850,Indiana,Pulaski,2595,2595,0,0
1850,Indiana,Putnam,18615,18581,34,0
1850,Indiana,Randolph,14725,14063,662,0
1850,Indiana,Ripley,14820,14724,96,0
1850,Indiana,Rush,16445,16018,427,0
1850,Indiana,St Joseph,10954,10925,29,0
