GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,total_population
G1300830,1870,Georgia,130,Dade,830,Dade,3033
G1300850,1870,Georgia,130,Dawson,850,Dawson,4369
G1300870,1870,Georgia,130,Decatur,870,Decatur,15183
G1300890,1870,Georgia,130,DeKalb,890,De Kalb,10014
G1300930,1870,Georgia,130,Dooly,930,Dooly,9790
G1300950,1870,Georgia,130,Dougherty,950,Dougherty,11517
G1300990,1870,Georgia,130,Early,990,Early,6998
G1301010,1870,Georgia,130,Echols,1010,Echols,1978
G1301030,1870,Georgia,130,Effingham,1030,Effingham,4214
G1301050,1870,Georgia,130,Elbert,1050,Elbert,9249
G1301070,1870,Georgia,130,Emanuel,1070,Emanuel,6134
G1301110,1870,Georgia,130,Fannin,1110,Fannin,5429
G1301130,1870,Georgia,130,Fayette,1130,Fayette,8221
G1301150,1870,Georgia,130,Floyd,1150,Floyd,17230
G1301170,1870,Georgia,130,Forsyth,1170,Forsyth,7983
G1301190,1870,Georgia,130,Franklin,1190,Franklin,7893
G1301210,1870,Georgia,130,Fulton,1210,Fulton,33446
G1301230,1870,Georgia,130,Gilmer,1230,Gilmer,6644
G1301250,1870,Georgia,130,Glascock,1250,Glascock,2736
G1301270,1870,Georgia,130,Glynn,1270,Glynn,5376
G1301290,1870,Georgia,130,Gordon,1290,Gordon,9268
G1301330,1870,Georgia,130,Greene,1330,Greene,12454
G1301350,1870,Georgia,130,Gwinnett,1350,Gwinnett,12431
G1301370,1870,Georgia,130,Habersham,1370,Habersham,6322
G1301390,1870,Georgia,130,Hall,1390,Hall,9607
G1301410,1870,Georgia,130,Hancock,1410,Hancock,11317
G1301430,1870,Georgia,130,Haralson,1430,Haralson,4004
G1301450,1870,Georgia,130,Harris,1450,Harris,13284
G1301470,1870,Georgia,130,Hart,1470,Hart,6783
G1301490,1870,Georgia,130,Heard,1490,Heard,7866
G1301510,1870,Georgia,130,Henry,1510,Henry,10102
G1301530,1870,Georgia,130,Houston,1530,Houston,20406
G1301550,1870,Georgia,130,Irwin,1550,Irwin,1837
G1301570,1870,Georgia,130,Jackson,1570,Jackson,11181
G1301590,1870,Georgia,130,Jasper,1590,Jasper,10439
G1301630,1870,Georgia,130,Jefferson,1630,Jefferson,12190
G1301670,1870,Georgia,130,Johnson,1670,Johnson,2964
G1301690,1870,Georgia,130,Jones,1690,Jones,9436
G1301750,1870,Georgia,130,Laurens,1750,Laurens,7834
G1301770,1870,Georgia,130,Lee,1770,Lee,9567
G1301790,1870,Georgia,130,Liberty,1790,Liberty,7688
G1301810,1870,Georgia,130,Lincoln,1810,Lincoln,5413
G1301850,1870,Georgia,130,Lowndes,1850,Lowndes,8321
G1301870,1870,Georgia,130,Lumpkin,1870,Lumpkin,5161
G1301910,1870,Georgia,130,McIntosh,1910,Mcintosh,4491
G1301930,1870,Georgia,130,Macon,1930,Macon,11458
G1301950,1870,Georgia,130,Madison,1950,Madison,5227
G1301970,1870,Georgia,130,Marion,1970,Marion,8000
G1301990,1870,Georgia,130,Meriwether,1990,Meriwether,13756
G1302010,1870,Georgia,130,Miller,2010,Miller,3091
G1302015,1870,Georgia,130,Milton,2015,Milton,4284
G1302050,1870,Georgia,130,Mitchell,2050,Mitchell,6633
G1302070,1870,Georgia,130,Monroe,2070,Monroe,17213
G1302090,1870,Georgia,130,Montgomery,2090,Montgomery,3586
G1302110,1870,Georgia,130,Morgan,2110,Morgan,10696
G1302130,1870,Georgia,130,Murray,2130,Murray,6500
G1302150,1870,Georgia,130,Muscogee,2150,Muscogee,16663
G1302170,1870,Georgia,130,Newton,2170,Newton,14615
G1302210,1870,Georgia,130,Oglethorpe,2210,Oglethorpe,11782
G1302230,1870,Georgia,130,Paulding,2230,Paulding,7639
G1302270,1870,Georgia,130,Pickens,2270,Pickens,5317
G1302290,1870,Georgia,130,Pierce,2290,Pierce,2778
G1302310,1870,Georgia,130,Pike,2310,Pike,10905
G1302330,1870,Georgia,130,Polk,2330,Polk,7822
G1302350,1870,Georgia,130,Pulaski,2350,Pulaski,11940
G1302370,1870,Georgia,130,Putnam,2370,Putnam,10461
G1302390,1870,Georgia,130,Quitman,2390,Quitman,4150
G1302410,1870,Georgia,130,Rabun,2410,Rabun,3256
G1302430,1870,Georgia,130,Randolph,2430,Randolph,10561
G1302450,1870,Georgia,130,Richmond,2450,Richmond,25724
G1302490,1870,Georgia,130,Schley,2490,Schley,5129
G1302510,1870,Georgia,130,Screven,2510,Screven,9175
G1302550,1870,Georgia,130,Spalding,2550,Spalding,10205
G1302590,1870,Georgia,130,Stewart,2590,Stewart,14204
G1302610,1870,Georgia,130,Sumter,2610,Sumter,16559
G1302630,1870,Georgia,130,Talbot,2630,Talbot,11913
G1302650,1870,Georgia,130,Taliaferro,2650,Taliaferro,4796
G1302670,1870,Georgia,130,Tattnall,2670,Tattnall,4860
G1302690,1870,Georgia,130,Taylor,2690,Taylor,7143
G1302710,1870,Georgia,130,Telfair,2710,Telfair,3245
G1302730,1870,Georgia,130,Terrell,2730,Terrell,9053
G1302750,1870,Georgia,130,Thomas,2750,Thomas,14523
G1302810,1870,Georgia,130,Towns,2810,Towns,2780
G1302850,1870,Georgia,130,Troup,2850,Troup,17632
G1302890,1870,Georgia,130,Twiggs,2890,Twiggs,8545
G1302910,1870,Georgia,130,Union,2910,Union,5267
G1302930,1870,Georgia,130,Upson,2930,Upson,9430
G1302950,1870,Georgia,130,Walker,2950,Walker,9925
G1302970,1870,Georgia,130,Walton,2970,Walton,11038
G1302990,1870,Georgia,130,Ware,2990,Ware,2286
G1303010,1870,Georgia,130,Warren,3010,Warren,10545
G1303030,1870,Georgia,130,Washington,3030,Washington,15842
